1000 5
93 4 4
1164 4 1
1334 4 0
79 8 3
1148 6 2
1279 5 5
527 7 2
1322 4 1
747 7 5
956 3 1
795 5 0
1251 3 3
1063 4 2
147 7 4
1022 3 1
856 7 2
529 5 4
962 4 3
943 3 0
1163 8 0
1099 6 3
6 3 2
1191 7 3
307 8 3
1368 4 4
711 8 3
1032 8 2
241 3 5
1059 7 2
764 5 1
415 4 0
1162 8 1
1136 3 5
759 7 3
865 6 3
1165 8 2
1133 6 3
584 5 3
442 6 3
1083 5 5
941 4 1
1347 5 1
866 7 3
113 3 1
697 4 5
681 3 3
1009 4 2
808 4 4
237 7 5
1416 5 5
458 7 5
233 5 5
801 8 2
1250 6 1
876 3 4
186 3 1
1434 6 3
1242 6 5
1088 6 1
137 3 3
1301 6 1
749 3 3
623 8 1
1209 7 0
452 5 4
1437 3 1
1297 8 3
302 8 2
206 3 1
516 6 1
830 6 3
150 3 2
887 8 4
291 8 2
448 5 5
408 4 2
1098 6 5
1005 3 2
431 7 0
308 4 5
1412 4 4
232 3 1
267 8 0
510 6 0
180 5 4
1256 3 4
1178 8 0
1380 3 1
756 6 0
1175 3 2
1370 3 1
1196 8 5
210 6 5
26 4 3
853 8 2
961 8 1
1356 8 0
849 8 3
726 4 3
35 5 1
270 8 2
781 3 1
110 4 3
631 4 3
992 8 0
719 5 4
151 3 2
1274 6 2
809 5 0
506 4 4
792 5 0
1057 5 2
948 5 0
128 5 4
1006 5 0
329 3 2
1373 3 0
868 8 1
43 7 5
1397 7 4
319 7 1
1151 6 1
843 4 0
1238 8 5
1285 8 4
473 6 2
249 8 3
775 6 2
405 8 2
725 4 2
1187 8 3
235 4 1
391 5 5
495 3 3
299 4 3
1072 6 0
148 4 2
743 6 0
541 5 5
393 7 0
867 5 2
194 4 4
1010 3 1
443 8 2
1309 3 1
630 8 2
1200 5 1
978 7 0
1313 7 5
199 5 5
76 7 2
178 8 0
933 7 5
98 4 1
489 8 0
1394 7 3
492 5 3
1094 3 1
1362 5 0
81 3 0
266 7 2
908 5 0
262 6 2
530 7 0
1341 3 0
560 7 4
318 6 3
721 6 1
1079 4 1
800 3 4
457 7 2
901 8 3
324 7 0
412 4 1
751 6 5
316 6 3
617 4 4
844 5 4
1240 7 0
242 7 4
786 6 3
821 8 2
898 6 5
1095 8 0
746 8 2
834 5 1
806 8 1
106 8 2
1029 5 0
511 7 1
77 3 0
1221 8 4
1260 8 5
265 7 3
1304 7 0
1236 3 3
914 5 4
810 8 4
171 8 1
859 7 4
930 7 5
1272 5 3
1060 5 2
250 7 5
1171 3 2
360 4 2
971 8 3
618 5 4
493 4 1
1176 4 3
559 4 5
805 7 2
1310 3 1
1271 3 3
1429 5 2
1137 5 0
934 7 5
720 7 2
568 4 1
1150 4 3
691 4 2
899 6 5
811 3 5
892 8 3
472 3 1
1252 5 2
1433 7 0
836 8 1
905 6 0
1213 3 0
1102 7 4
782 3 4
1020 5 0
1212 7 4
928 7 5
454 7 5
699 5 5
140 7 4
439 5 3
1119 3 4
95 7 3
121 4 4
737 8 0
604 6 2
1284 8 3
419 7 3
734 3 0
1085 3 5
1248 5 3
593 8 4
825 5 4
845 4 3
974 6 5
122 3 5
1125 7 4
190 8 3
677 8 4
271 7 4
1323 4 5
817 7 5
1013 6 0
874 5 1
14 7 0
706 6 4
1084 4 2
583 8 0
260 5 0
1001 3 1
1100 6 5
376 7 4
1131 8 3
1227 8 0
807 3 5
1008 8 5
1391 6 5
0 3 2
380 3 2
637 8 2
880 3 1
361 7 5
285 6 0
772 4 5
1414 5 3
1069 5 5
337 7 4
606 5 2
687 3 3
1208 8 3
61 8 2
1214 3 4
947 4 0
468 6 5
1255 8 4
1220 4 3
326 6 2
517 8 4
392 5 2
276 5 5
625 6 2
383 3 5
1056 4 4
1181 4 3
1404 7 0
487 5 1
1349 5 5
104 6 2
340 4 5
1048 7 4
818 6 2
1371 8 4
480 7 3
852 3 3
1364 4 0
256 4 2
69 3 0
375 7 0
354 3 5
1089 5 2
815 4 1
209 7 0
219 3 5
1183 4 5
639 8 2
499 5 1
733 3 5
944 4 3
115 8 0
1239 3 1
187 8 3
891 3 1
567 8 3
133 6 2
477 7 4
609 5 5
1129 3 5
1317 5 1
1185 6 1
999 5 0
57 8 3
739 3 5
94 4 4
33 8 1
1383 7 3
118 8 0
1237 7 5
1143 6 0
536 7 1
53 6 3
1348 4 3
1269 5 5
789 3 2
562 5 0
21 3 2
1410 6 3
25 7 1
131 6 3
1198 4 4
273 6 5
159 4 1
75 7 5
552 4 4
356 6 5
1421 6 2
589 8 4
1223 3 4
1351 5 4
1036 4 1
979 4 3
228 6 5
1054 3 5
36 7 4
1327 3 1
280 5 5
1342 8 2
146 8 3
497 7 1
761 3 3
893 3 3
607 8 1
1138 4 2
343 4 0
557 5 3
462 4 0
134 7 1
533 5 0
889 5 4
995 7 5
1233 7 4
135 4 1
313 5 1
1245 3 1
142 3 4
430 3 4
1086 7 3
1321 5 2
1273 8 5
164 6 2
202 3 0
1055 6 4
1050 8 2
1012 3 2
777 3 1
369 7 5
1308 6 0
127 4 4
826 4 4
44 7 0
207 4 5
648 5 1
628 7 1
60 8 1
983 5 3
634 7 5
670 4 5
1230 3 0
547 3 5
518 4 0
960 5 4
1082 6 4
504 4 4
470 6 0
923 3 1
512 5 4
481 4 5
773 7 4
1152 5 0
820 4 2
633 3 5
988 3 0
67 6 3
434 6 1
990 7 2
913 7 2
968 6 1
255 3 3
1197 4 4
766 6 0
829 3 4
125 5 1
64 7 1
694 7 3
1326 3 5
569 6 3
1382 4 4
4 6 2
1405 7 1
211 4 1
1276 4 0
23 7 1
240 6 4
986 4 3
883 3 3
684 6 1
223 7 3
673 8 0
5 4 2
126 3 3
136 8 5
970 3 3
305 6 5
411 4 5
503 5 5
1087 3 1
1344 7 3
441 7 3
1258 5 3
278 7 5
388 7 5
438 8 4
949 8 3
555 5 1
882 3 5
1338 7 2
1205 8 3
238 3 1
1402 8 1
107 6 0
1401 6 4
331 8 4
1280 5 1
372 6 4
1071 8 3
282 7 5
245 5 5
650 7 0
1264 7 3
762 7 1
321 3 2
236 7 4
498 7 2
636 7 2
528 4 0
701 3 4
1270 5 4
3 5 2
83 8 1
722 7 4
9 7 0
592 7 5
1194 4 2
197 5 5
248 4 2
676 6 0
418 5 1
1217 6 2
1335 6 4
683 5 0
424 7 2
1104 7 2
71 5 4
409 7 0
18 7 4
1267 8 5
1218 7 3
680 6 5
812 8 1
1355 4 1
1331 5 4
763 6 3
1154 6 3
906 6 5
984 7 5
622 5 2
1112 5 3
594 4 2
123 7 2
598 7 0
469 8 0
1014 5 0
325 8 3
580 7 1
1291 8 5
1385 3 2
440 6 3
1282 4 1
350 3 5
141 3 2
1365 4 4
1259 4 4
1431 3 2
842 6 5
601 5 4
1432 6 1
1386 5 1
902 7 3
212 3 1
275 6 4
508 8 1
7 7 3
394 8 0
524 7 3
89 3 5
664 8 3
429 5 0
1109 7 3
1376 5 2
663 8 3
90 4 0
1042 7 2
185 8 4
686 4 0
989 7 4
1018 8 4
1049 4 2
595 4 2
917 7 2
425 6 4
102 3 1
461 6 0
1078 5 0
1289 6 4
939 6 2
1158 5 5
819 5 5
40 5 4
787 3 1
55 3 2
713 4 0
427 4 2
1107 4 0
1353 8 5
32 4 4
774 8 0
575 4 5
1231 8 1
854 7 4
416 5 4
798 3 2
980 5 2
215 4 3
1253 4 1
261 4 4
794 4 0
705 4 0
1190 5 1
192 3 2
731 6 4
716 4 1
873 8 0
1420 8 4
217 3 4
160 5 3
851 5 4
213 5 3
226 5 2
1246 3 3
179 6 4
803 5 5
450 7 5
903 7 0
490 3 2
753 4 3
690 5 0
279 6 4
386 4 1
12 8 2
476 7 3
1425 5 4
824 8 0
1039 3 2
1354 4 2
1195 7 4
649 4 4
379 7 5
1422 3 0
478 5 3
444 5 4
1061 3 0
635 5 2
47 7 1
82 8 3
712 6 5
1278 3 2
1161 4 5
1219 5 0
688 3 2
596 8 3
987 5 1
338 6 1
919 5 5
666 3 3
1332 7 5
785 4 4
85 4 4
1319 6 1
1074 3 3
549 8 5
1328 6 0
1017 7 2
252 5 3
161 4 2
675 3 3
501 8 4
967 6 2
410 6 0
994 6 2
542 6 5
1288 6 2
863 4 0
964 4 2
1357 6 4
414 8 1
251 5 4
175 4 1
1159 6 2
963 8 4
485 6 5
1203 8 5
872 4 0
264 4 1
1439 1 3
253 8 1
220 8 5
888 8 3
174 3 3
277 5 4
92 5 1
935 4 1
1294 6 2
831 5 2
884 7 0
779 4 2
100 3 2
269 5 3
29 4 4
561 7 1
938 8 5
563 6 5
73 7 1
144 5 4
119 5 3
176 4 1
196 8 5
692 3 0
189 8 3
535 6 5
515 4 3
500 5 3
591 6 2
24 4 3
494 5 1
154 7 2
945 6 3
1346 5 4
1377 3 2
177 7 5
946 8 5
322 8 3
920 4 2
1111 3 1
671 3 0
1144 4 3
1116 5 3
188 8 1
428 7 4
550 8 4
143 6 5
1090 6 0
717 8 0
1275 7 0
158 4 4
451 7 4
309 4 3
1314 6 0
652 4 1
1147 3 2
1092 8 2
105 6 2
39 3 3
1081 6 2
1415 7 3
257 3 1
120 3 1
1066 4 3
163 7 1
1299 5 5
799 7 3
802 8 4
298 5 2
1077 5 2
793 7 0
1249 3 0
858 7 3
1210 8 0
1293 8 4
841 8 1
791 7 2
1037 3 0
661 3 5
507 5 5
62 7 1
1168 4 3
1311 7 0
162 5 0
258 8 2
1399 4 3
674 5 1
345 4 4
1000 6 2
225 4 1
525 5 2
1398 3 2
1411 5 4
603 3 1
1053 3 1
1064 8 5
616 3 4
63 7 1
420 8 2
397 8 2
916 6 4
702 3 4
653 7 0
1160 5 0
768 3 5
1262 6 2
382 8 5
34 6 1
1224 6 3
1287 8 5
570 6 0
1222 5 1
301 3 4
741 7 2
54 6 1
620 7 4
208 4 2
191 3 2
776 7 0
1199 8 4
65 4 3
982 8 3
108 3 2
66 6 2
221 7 3
68 3 0
