9876 100000
5 8206 A
5 5961 B
5 5788 A
5 7986 B
5 6053 A
5 5602 A
6 3085 B
6 5049 B
6 654 A
6 5976 A
6 7887 B
6 753 B
6 726 B
6 1885 A
6 4305 A
6 6121 A
6 1184 B
6 5845 B
6 712 A
6 2434 A
6 4640 B
6 3218 B
6 7923 B
6 1533 B
6 7136 B
6 6364 A
6 9810 B
6 9298 A
6 806 B
6 7620 A
6 3823 B
6 3015 A
6 2358 B
6 2791 A
6 9797 A
6 4172 B
6 3799 B
6 4866 A
6 4566 A
6 6962 B
6 2202 B
6 5327 A
6 6700 A
6 7448 B
6 9393 B
6 5902 B
6 4855 B
6 6845 B
6 4640 B
6 251 B
6 5454 A
6 8679 A
6 3797 A
6 9768 B
6 2120 B
6 8829 A
6 7249 A
6 2940 A
6 8543 B
6 2807 B
6 1772 B
6 8946 A
6 9614 A
6 4691 A
6 630 A
6 83 B
6 9499 B
6 3840 A
6 8349 B
6 1653 B
6 1132 A
6 4453 A
6 3442 A
6 2217 B
6 3332 B
6 7020 A
6 7717 B
7 7464 A
7 9677 B
7 4631 B
7 6802 A
7 4491 A
7 4415 B
7 338 B
7 1484 B
7 7016 A
7 98 A
7 5738 A
7 7823 A
7 80 B
7 3901 B
7 9657 A
7 2534 A
7 3990 B
7 8871 A
7 9261 A
7 1410 A
7 4135 B
7 8298 A
7 6715 A
7 8415 B
7 709 A
7 7667 B
7 8755 B
7 9168 B
7 1201 B
7 7141 A
7 7087 B
7 5127 B
7 8877 A
7 2131 A
7 8307 A
7 8466 B
7 1442 A
7 467 B
7 7138 B
7 6983 A
7 8541 B
7 7438 B
7 8573 A
7 8880 B
7 7783 A
7 7758 A
7 6767 B
7 7234 A
7 6847 A
7 6829 A
7 866 A
7 9144 B
7 1265 B
7 4568 A
7 7479 A
7 8775 B
7 7570 A
7 541 B
7 5481 B
7 7683 A
7 4335 A
7 5853 A
7 5286 A
7 8167 B
7 7533 B
7 6830 B
7 2921 B
7 4994 B
7 8439 B
7 6254 A
7 2177 B
7 3091 B
8 7482 A
8 1012 B
8 1296 A
8 626 A
8 6142 B
8 2102 B
8 7907 B
8 7178 A
8 1106 A
8 7311 A
8 2106 A
8 3505 A
8 8031 A
8 4890 A
8 1156 A
8 5307 B
8 1416 A
8 7817 B
8 639 A
8 5087 B
8 6586 B
8 6788 B
8 9029 B
8 4069 A
8 1820 B
8 7025 A
8 6570 B
8 9290 A
8 8547 A
8 2992 B
8 8964 B
8 9298 A
8 9371 A
8 8612 A
8 4979 B
8 6978 A
8 8098 B
8 1718 B
8 5612 A
8 9245 A
8 3430 B
8 4510 B
8 1524 B
8 4556 A
8 5164 B
8 7843 A
8 6004 A
8 5558 B
8 1598 B
8 364 A
8 1239 B
8 1935 B
8 6228 A
8 3734 A
8 9022 B
8 8813 B
8 2282 A
8 5719 B
8 5641 A
8 2143 A
8 6336 B
8 3408 A
8 2009 A
8 6380 A
8 9440 B
9 8612 B
9 7323 A
9 9668 B
9 6788 A
9 6965 A
9 464 A
9 2337 B
9 3196 B
9 3737 A
9 7067 B
9 3180 B
9 1584 A
9 1532 B
9 5505 B
9 9416 A
9 4386 B
9 4776 B
9 4194 A
9 8646 B
9 9589 B
9 9751 A
9 8633 A
9 2377 A
9 4176 A
9 8045 B
9 1546 B
9 9405 B
9 6146 A
9 3859 A
9 7572 A
9 3240 B
9 906 A
9 9442 B
9 7968 A
9 4421 B
9 6535 A
9 4882 A
9 5592 A
9 1279 B
9 2570 A
9 7258 A
9 2097 A
9 9302 B
9 6802 B
9 5676 A
9 5193 B
9 2089 A
9 9822 B
9 5521 B
9 7987 A
9 354 A
9 8066 A
9 3137 B
9 5831 B
9 9507 B
9 6410 B
9 3865 A
9 9417 B
9 408 B
9 1929 A
9 9572 A
9 9416 B
9 3061 B
9 4619 B
10 7635 A
10 3053 B
10 8355 B
10 8843 A
10 22 B
10 265 B
10 1745 A
10 5407 A
10 5385 A
10 910 B
10 479 A
10 9320 B
10 8178 A
10 5787 A
10 1852 B
10 3498 B
10 892 A
10 3961 A
10 7937 B
10 5648 B
10 6065 B
10 7627 B
10 3337 A
10 5252 B
10 5359 B
10 611 B
10 5726 B
10 5605 A
10 3454 A
10 8062 B
10 6775 B
10 1217 A
10 9221 A
10 6110 A
10 705 A
10 7171 B
10 5962 A
10 8648 B
10 3044 A
10 2623 B
10 8523 B
10 7885 B
10 9041 A
10 2812 A
10 8009 B
10 5598 A
10 1144 B
10 1436 A
10 1898 B
10 5847 B
10 5592 B
10 9041 B
10 5015 A
10 7008 A
10 6565 B
10 472 A
10 208 A
10 4335 B
10 897 A
10 2861 B
10 1251 A
10 698 A
10 5842 A
10 8869 A
10 5721 B
10 4035 A
10 6519 A
10 9512 A
10 1449 A
10 7792 A
10 5090 B
10 7400 B
11 9366 B
11 3203 B
11 5514 B
11 2014 B
11 5600 B
11 6590 B
11 7581 A
11 5344 B
11 3584 B
11 5892 B
11 646 B
11 7974 B
11 2009 B
11 5546 B
11 6749 B
11 4203 B
11 5654 A
11 6233 B
11 3966 B
11 6651 A
11 4565 A
11 2521 B
11 4849 A
11 1113 B
11 5850 B
11 3404 B
11 4300 B
11 8018 B
11 4792 B
11 152 A
11 8789 A
11 6894 A
11 9800 A
11 2532 B
11 5187 A
11 2734 A
11 7129 A
11 4550 B
11 4480 A
11 1533 B
11 3273 B
11 5357 B
11 1131 B
11 5585 A
11 5551 A
11 6255 B
11 4164 B
11 4497 B
11 4229 B
11 3005 A
11 8853 B
11 595 B
11 1549 A
11 9872 B
11 1079 A
11 2569 A
11 4888 A
11 7763 B
11 7779 A
11 9078 A
11 5871 A
11 1230 B
11 5038 B
11 935 A
11 4616 B
11 3379 B
11 4487 A
11 8742 B
11 6651 A
11 3622 A
11 6810 A
12 6348 A
12 9541 A
12 9558 A
12 4637 A
12 468 A
12 9862 A
12 9653 B
12 5281 A
12 709 A
12 8282 A
12 6587 B
12 4035 A
12 1696 A
12 6884 A
12 305 A
12 7192 B
12 467 B
12 2813 B
12 5709 B
12 1114 B
12 3310 B
12 5695 A
12 3114 A
12 8524 B
12 5207 B
12 2063 B
12 6801 B
12 211 B
12 9569 A
12 2569 B
12 139 B
12 3107 A
12 3381 A
12 8645 B
12 1761 A
12 6265 B
12 9242 A
12 8092 A
12 8392 A
12 9845 A
12 4229 A
12 1462 A
12 6465 A
12 168 B
12 4035 A
12 498 A
12 347 A
12 8972 A
12 8307 B
12 3353 B
13 506 A
13 3721 A
13 98 B
13 1424 A
13 1528 A
13 8212 A
13 6096 B
13 9315 A
13 5540 A
13 2374 B
13 9222 A
13 4944 A
13 3722 A
13 2728 A
13 1518 A
13 6339 B
13 3743 B
13 1579 A
13 8423 B
13 7385 B
13 429 B
13 8251 B
13 8105 A
13 2899 B
13 4945 B
13 8802 B
13 9087 B
13 5316 A
13 3901 B
13 7706 A
13 1810 A
13 6381 A
13 2888 B
13 8086 B
13 2474 B
13 4850 A
13 3849 A
13 8367 A
13 7314 A
13 9077 A
13 5943 A
13 1826 A
13 2418 B
13 4379 B
13 3465 B
13 5132 B
13 4293 A
13 9467 A
13 8039 A
13 7592 B
13 4461 A
13 7666 A
13 9411 B
13 195 B
13 1871 A
13 7507 A
13 6724 A
13 7332 A
13 5655 A
13 6879 B
13 8837 A
13 3603 B
13 4435 B
13 3227 B
13 3688 A
13 1901 A
14 8755 B
14 4527 B
14 5818 A
14 4907 A
14 4728 B
14 3326 A
14 1102 B
14 1023 B
14 40 A
14 955 A
14 9431 B
14 8514 A
14 4881 A
14 9693 B
14 1126 A
14 4156 B
14 3001 A
14 6586 B
14 2623 A
14 9057 A
14 7378 B
14 8409 B
14 9434 B
14 4085 B
14 4244 A
14 8898 B
14 8592 B
14 29 A
14 9041 B
14 3606 A
14 9131 A
14 5003 A
14 3656 A
14 7290 B
14 5590 A
14 4887 A
14 5412 A
14 7672 A
14 2929 A
14 4379 B
14 1321 A
14 8154 B
14 1692 A
14 7114 B
14 392 B
14 2150 B
14 2653 B
14 429 A
14 8004 A
14 5318 A
14 5328 B
14 7521 B
14 5838 A
14 1112 A
14 4134 B
14 5226 A
14 3192 B
14 8720 A
14 6833 A
14 5787 B
14 4250 B
15 5593 A
15 6133 A
15 2814 B
15 9268 A
15 4548 B
15 7043 A
15 3017 A
15 7976 A
15 6291 A
15 7989 A
15 9595 B
15 8153 B
15 1681 A
15 6364 B
15 2622 B
15 958 A
15 8467 A
15 8357 B
15 4638 A
15 7003 B
15 3106 A
15 3122 A
15 8568 B
15 9840 B
15 2915 B
15 5329 B
15 6461 A
15 5846 A
15 7843 A
15 146 B
15 3981 A
15 4658 A
15 4279 A
15 1138 B
15 3429 B
15 8423 A
15 2811 A
15 2864 A
15 7900 A
15 4993 B
15 4105 A
15 6310 A
15 9631 A
15 5814 B
15 5409 A
15 2155 A
15 4308 A
15 1857 B
15 3266 A
15 4028 B
15 4782 B
15 7318 A
15 7624 A
15 5723 B
15 7668 B
15 5703 A
15 4693 A
15 1314 B
15 9756 B
15 1060 A
15 2423 A
15 2333 A
15 2995 B
15 4129 A
15 2421 B
16 4992 B
16 4361 B
16 7944 B
16 5178 A
16 659 A
16 9239 A
16 9769 B
16 8193 B
16 8031 B
16 6239 A
16 9786 B
16 1214 A
16 6067 B
16 9501 B
16 8005 B
16 5982 A
16 1144 A
16 6844 A
16 8025 B
16 2802 A
16 4112 B
16 2049 A
16 4429 B
16 778 A
16 1141 B
16 7567 B
16 8434 B
16 8603 B
16 271 B
16 4254 B
16 388 A
16 9247 B
16 921 A
16 4115 B
16 4328 A
16 5053 B
16 2012 A
16 6490 B
16 7106 A
16 3833 A
16 8552 A
16 1359 A
16 4440 B
16 9616 B
16 8200 A
16 9746 A
16 148 A
16 9211 A
16 8850 B
16 9626 A
16 3106 A
16 7673 B
16 2869 B
16 9288 A
16 1124 A
16 412 B
16 3244 B
16 2141 A
16 6037 B
16 4595 B
16 6509 A
16 5901 A
16 6968 B
16 8680 A
16 5145 B
16 6743 A
16 9294 B
16 6836 A
17 2709 A
17 6848 A
17 4423 A
17 6693 A
17 6271 B
17 2907 B
17 1855 B
17 1426 A
17 2496 A
17 4643 A
17 714 A
17 6734 B
17 1768 A
17 412 A
17 6729 B
17 4895 B
17 559 B
17 7640 B
17 1769 A
17 8096 B
17 2917 B
17 8661 A
17 3139 A
17 4872 B
17 8230 B
17 3415 B
17 6000 A
17 5679 A
17 7867 B
17 5350 B
17 8942 B
17 6312 A
17 3653 B
17 7146 B
17 116 B
17 1856 B
17 380 A
17 4356 A
17 2775 B
17 8530 B
17 9703 B
17 3530 A
17 9698 A
17 5620 B
17 9264 B
17 7648 B
17 5231 A
17 6423 B
17 617 A
17 2851 A
17 3387 B
17 7309 A
17 6198 A
17 9685 A
17 823 B
17 8467 B
17 4993 A
17 3405 A
17 1693 B
17 6128 A
17 2787 A
17 4553 B
17 5200 A
17 3874 A
17 7784 A
17 1361 A
17 5437 A
18 6392 B
18 8568 A
18 795 A
18 4748 A
18 3843 A
18 2229 A
18 2271 A
18 1969 A
18 1698 B
18 4996 A
18 2655 A
18 153 A
18 4788 A
18 8282 B
18 5382 B
18 4058 B
18 4609 B
18 3644 B
18 8072 B
18 1161 B
18 4363 A
18 2763 A
18 8198 A
18 5743 B
18 345 B
18 6756 A
18 5579 A
18 3776 B
18 4142 A
18 1329 B
18 1626 A
18 4930 A
18 6174 A
18 1131 A
18 9367 B
18 2761 B
18 7123 B
18 8142 B
18 927 A
18 4499 B
18 5866 B
18 2623 A
18 5463 B
18 3353 A
18 2011 B
18 9243 B
18 1952 B
18 6217 B
18 7961 A
18 2724 A
18 851 A
18 9860 B
18 2004 B
18 5530 A
18 1013 B
18 3578 B
18 7491 B
18 5033 A
18 2179 B
18 2876 A
18 2236 B
18 9448 A
18 917 A
18 669 B
18 3293 A
18 7762 A
18 7471 A
18 196 A
18 7094 A
19 3084 B
19 1120 A
19 1700 B
19 4949 A
19 6153 A
19 6657 A
19 4515 A
19 5239 B
19 9511 B
19 4839 B
19 4338 B
19 4376 B
19 7198 B
19 8973 A
19 2818 B
19 35 B
19 1954 B
19 7521 A
19 9839 A
19 79 B
19 8672 A
19 6779 A
19 4450 B
19 8676 A
19 8856 B
19 8169 A
19 2313 A
19 2053 A
19 118 A
19 8636 A
19 6633 A
19 8261 B
19 424 A
19 6289 B
19 8221 A
19 6618 B
19 4765 B
19 4099 B
19 6535 B
19 5707 A
19 9567 B
19 3178 A
19 1741 B
19 2214 B
19 5194 A
19 4514 B
19 6372 A
19 6277 B
19 6147 A
19 8673 B
19 7811 B
19 1064 A
19 1134 B
19 2048 B
19 7875 B
19 7964 A
19 1473 A
19 7327 A
19 9713 B
19 1117 A
19 7631 A
19 1000 A
19 7810 A
19 3462 A
19 2519 B
19 918 A
19 3551 B
19 1518 B
20 2156 B
20 1482 B
20 2801 A
20 6048 A
20 2454 B
20 9365 B
20 6592 B
20 1275 A
20 3615 B
20 9861 B
20 8983 B
20 7585 A
20 2533 A
20 3969 A
20 2062 A
20 8312 B
20 595 A
20 5698 B
20 8018 A
20 9123 B
20 7390 A
20 6838 A
20 6072 B
20 5543 B
20 2929 B
20 4415 A
20 6887 A
20 2245 A
20 9038 A
20 1616 A
20 3967 A
20 7567 B
20 4607 A
20 7002 A
20 8781 A
20 9438 B
20 7435 A
20 2185 A
20 3151 A
20 5538 B
20 2235 A
20 4239 A
20 7363 B
20 8814 A
20 5567 B
20 8520 B
20 138 B
20 9844 B
20 5822 A
20 7496 A
20 9271 A
20 6434 A
20 5345 B
20 1958 A
21 8333 B
21 4436 A
21 352 B
21 9844 A
21 7547 B
21 2915 B
21 7766 A
21 210 B
21 4755 B
21 4338 A
21 1130 B
21 7239 B
21 7897 B
21 2775 A
21 6842 A
21 340 B
21 9769 B
21 8122 A
21 9194 B
21 7140 A
21 8306 A
21 9795 A
21 5019 B
21 5192 B
21 2394 B
21 4461 B
21 7453 A
21 2189 A
21 7167 A
21 6558 A
21 6065 A
21 8853 B
21 1676 B
21 2211 B
21 8840 A
21 5932 B
21 3648 A
21 8222 A
21 3803 A
21 1813 B
21 9067 A
21 5952 B
21 2370 B
21 7697 A
21 5309 A
21 7652 A
21 5922 A
21 5627 B
21 3398 B
21 7500 A
21 4916 A
21 8812 B
21 24 A
21 2343 B
21 3235 B
21 896 A
21 8547 A
21 5110 B
21 7062 B
21 2620 A
21 4993 B
21 1459 B
21 9622 A
21 3673 A
21 972 A
21 3593 B
21 6101 A
21 8725 B
21 2796 B
21 5365 A
21 6274 A
21 8207 B
22 6284 B
22 6784 B
22 7815 B
22 8772 B
22 2718 A
22 9822 A
22 3408 A
22 8441 B
22 7734 B
22 1430 A
22 8094 A
22 4220 B
22 1432 B
22 7449 A
22 569 B
22 2210 A
22 2631 A
22 4696 A
22 7425 B
22 4068 A
22 7179 A
22 8328 B
22 8122 A
22 1990 B
22 4577 A
22 7352 A
22 1737 B
22 5155 B
22 6845 B
22 1293 A
22 8491 B
22 5594 A
22 1804 A
22 5801 A
22 3363 A
22 1531 A
22 3042 A
22 922 B
22 5365 A
22 6327 B
22 5001 B
22 6314 B
22 5706 B
22 3666 A
22 5528 A
22 8034 B
22 9573 B
22 1181 A
22 3824 A
22 9055 B
22 1616 A
22 9147 A
22 4961 B
22 6642 A
22 970 B
22 7779 B
22 2308 A
22 6536 A
22 9221 B
22 7262 B
22 3055 A
22 7229 A
22 8263 B
22 7563 A
22 9227 A
22 7330 A
22 7003 A
22 5038 A
22 9473 A
22 982 A
22 8722 B
22 1951 A
22 8467 B
22 6197 B
22 7342 A
22 2887 B
22 4183 A
22 6246 A
22 6160 B
22 1406 B
22 8304 A
22 5335 B
22 9187 B
22 8122 B
22 5203 A
22 4746 B
22 5347 A
22 5980 A
22 7975 B
22 4349 A
22 1672 A
23 1133 A
23 166 B
23 7039 A
23 6542 B
23 924 A
23 8000 A
23 9773 B
23 6167 A
23 6470 B
23 1000 A
23 7658 A
23 7289 B
23 1027 B
23 5332 B
23 5951 B
23 9436 B
23 1693 B
23 7710 B
23 5930 A
23 7410 A
23 6014 B
23 810 B
23 6295 A
23 6257 A
23 278 B
23 6438 A
23 1283 A
23 7099 B
23 1850 A
23 8440 B
23 1907 B
23 9000 B
23 6755 B
23 9353 A
23 5173 B
23 517 A
23 68 A
23 3615 B
23 373 A
23 3603 B
23 801 A
23 8423 B
23 8119 B
23 5589 B
23 7755 A
23 9336 A
23 5713 B
23 6891 A
23 8074 B
23 5933 B
23 129 B
23 7259 A
23 2806 A
23 8394 A
23 6236 B
23 4064 A
23 1761 A
23 5021 A
23 9278 B
23 1933 B
23 3986 A
23 4275 A
23 3476 A
23 4766 A
23 1065 B
23 2247 A
23 5936 A
23 6129 B
23 2750 B
23 8494 B
23 4114 A
24 8944 B
24 6549 A
24 2748 B
24 1394 B
24 2969 B
24 7247 A
24 615 B
24 8974 A
24 2090 A
24 5027 A
24 6008 B
24 129 B
24 6935 B
24 9582 B
24 6815 A
24 2918 A
24 3286 A
24 3835 B
24 1935 A
24 8619 A
24 5309 B
24 1610 B
24 2279 B
24 9561 A
24 8207 B
24 8685 B
24 5404 A
24 5855 A
24 316 B
24 8451 A
24 8161 A
24 7530 A
24 8 A
24 4361 A
24 8265 A
24 8527 A
24 5340 A
24 3431 B
24 535 B
24 3825 B
24 9058 B
24 6591 A
24 988 B
24 9760 A
24 964 A
24 5114 B
24 2956 A
24 8292 A
24 6451 B
24 4155 A
24 3582 A
24 8962 A
24 4472 A
24 5085 B
24 6996 A
24 6446 A
24 8104 A
24 7018 B
24 6632 A
24 2958 B
24 8852 A
24 9229 A
24 7633 B
24 6908 B
24 116 B
24 1048 B
24 8827 A
24 7395 A
25 6654 A
25 8351 B
25 4835 A
25 2006 A
25 8863 A
25 8368 A
25 5877 B
25 1701 A
25 7065 B
25 5757 B
25 9042 A
25 5915 B
25 290 A
25 4265 B
25 4564 B
25 8593 A
25 9064 B
25 873 A
25 4175 B
25 3190 B
25 158 B
25 2762 B
25 1788 B
25 7509 A
25 9269 B
25 7921 A
25 4781 B
25 7964 B
25 3458 A
25 9614 A
25 9734 A
25 7257 A
25 3075 A
25 7164 B
25 4340 B
25 7207 B
25 2021 A
25 7939 A
25 9314 A
25 6613 B
25 3627 A
25 1864 A
25 1475 A
25 7309 B
25 1267 B
25 2734 B
25 6840 B
25 6804 A
25 4272 B
25 8542 A
25 7463 B
25 4078 A
25 711 B
25 3110 A
25 3921 A
25 8329 B
25 3241 A
25 6295 A
25 4829 B
25 9494 B
25 8585 B
25 2762 A
25 5803 B
25 9283 A
25 4209 A
25 7393 A
25 5810 A
25 8754 B
25 9508 B
25 8522 A
25 7913 A
26 6521 B
26 7788 A
26 6553 B
26 6364 A
26 1398 A
26 8200 B
26 8610 B
26 5144 A
26 1894 B
26 3252 A
26 4365 B
26 5091 A
26 5296 A
26 2676 A
26 5395 B
26 8422 A
26 8580 A
26 1547 B
26 9547 B
26 9474 A
26 2997 B
26 805 A
26 3541 A
26 7181 A
26 9118 B
26 4484 A
26 7330 B
26 5323 B
26 7049 B
26 813 A
26 3054 B
26 789 B
26 4782 B
26 1216 B
26 8415 B
26 1700 A
26 1914 A
26 7534 B
26 368 B
26 5078 B
26 4389 B
26 581 A
26 1185 B
26 9169 A
26 1388 A
26 665 B
26 7374 A
26 477 B
26 4548 A
26 6091 B
26 7258 A
26 1710 B
26 1108 A
26 490 B
26 8896 B
26 5486 B
27 5672 A
27 5827 B
27 6075 A
27 7814 B
27 7479 A
27 3140 B
27 8447 A
27 7973 B
27 5540 A
27 2332 A
27 9134 A
27 3762 A
27 8005 A
27 4875 B
27 3338 A
27 7036 A
27 6111 A
27 6506 B
27 9618 B
27 4854 B
27 5520 B
27 5409 B
27 20 B
27 7259 A
27 1765 A
27 9251 A
27 5171 A
27 7019 B
27 2233 A
27 586 A
27 5759 B
27 2143 A
27 7007 A
27 4778 B
27 4397 B
27 4117 B
27 4551 B
27 5814 A
27 8175 A
27 7344 B
27 2987 A
27 7304 B
27 6625 B
27 519 B
27 4199 B
27 2585 B
27 8345 A
27 7003 A
27 7530 A
27 1606 A
27 7099 B
27 5712 A
27 6541 B
27 3842 A
27 9444 B
27 8336 A
27 4549 B
27 7549 A
27 4466 B
27 4797 B
27 2859 B
27 8959 A
27 3842 B
27 3143 B
27 170 B
27 2231 B
27 4867 A
27 3635 B
27 6474 A
28 2325 B
28 5796 A
28 9673 B
28 5360 A
28 3801 B
28 3790 A
28 3707 A
28 9361 B
28 9739 B
28 7226 A
28 29 A
28 9806 A
28 9405 B
28 9489 B
28 4480 A
28 8804 B
28 9264 B
28 3460 A
28 1617 A
28 8832 B
28 6623 A
28 7658 B
28 2195 A
28 8995 B
28 3520 B
28 8677 A
28 6020 A
28 8921 B
28 7887 A
28 7517 A
28 9615 A
28 1849 B
28 549 B
28 7188 B
28 8966 B
28 411 A
28 1577 A
28 1161 B
28 7935 A
28 7353 A
28 4613 B
28 8404 A
28 3382 B
28 3832 B
28 9734 B
28 7637 A
28 8693 B
28 3564 A
28 7340 B
28 5235 B
28 3094 B
28 8943 A
28 22 A
28 980 B
28 1292 B
28 8071 A
28 7389 A
28 5943 A
28 9142 B
28 8295 B
28 4216 A
28 1688 A
28 9226 B
28 9356 B
28 6970 A
28 2868 B
29 1375 B
29 2865 A
29 241 B
29 8381 B
29 4597 A
29 1543 B
29 8845 A
29 5996 B
29 722 A
29 9026 A
29 6444 A
29 7883 A
29 5434 B
29 9481 A
29 5909 B
29 8396 B
29 7399 B
29 9198 B
29 7885 B
29 9420 A
29 724 A
29 6509 A
29 6031 A
29 2867 B
29 5913 A
29 8768 B
29 2304 A
29 8547 A
29 1293 B
29 4258 B
29 5639 B
29 9224 B
29 8608 A
29 868 A
29 6044 B
29 626 A
29 7909 A
29 1245 B
29 6262 A
29 7194 B
29 6500 B
29 364 B
29 6141 B
29 6850 A
29 7433 A
29 6093 B
29 4393 B
29 9089 B
29 1959 B
29 8470 B
29 3943 B
29 5534 B
29 6307 B
29 3789 A
29 311 B
29 5454 B
29 5311 A
30 6354 B
30 9871 B
30 3858 A
30 675 B
30 820 A
30 6561 B
30 7676 B
30 3136 A
30 9029 A
30 4157 A
30 9710 A
30 1904 A
30 4946 A
30 4259 A
30 5386 A
30 8674 B
30 1025 A
30 722 A
30 9854 B
30 2617 B
30 4650 A
30 5165 A
30 7868 B
30 9148 B
30 3150 A
30 9042 B
30 4337 A
30 8564 A
30 2324 A
30 5322 B
30 7900 B
30 2580 A
30 8452 A
30 8067 B
30 6722 B
30 5636 A
